cohort,cancer,source,target,a,lcb,expected
full,icd_157,icd_531,icd_576,1.7240203712522968,1.222895626497933,0.4513711297023626
full,icd_157,icd_576,icd_575,3.57648364189579,3.5403653093938403,9.773378005252653
full,icd_157,icd_575,icd_576,3.2646430973083334,3.2118030416489454,9.203858981376243
full,icd_157,icd_452,icd_573,1.8160711358441515,1.4774898439616706,0.190793638171054
full,icd_157,icd_573,icd_452,3.0176885798068085,2.8815574315533503,0.8848993583409879
full,icd_157,icd_537,icd_452,2.99350902245498,2.6882474729088064,0.19310119468803855
full,icd_157,icd_531,icd_452,3.3830727472237783,3.106599070484561,0.15619322313764172
full,icd_157,icd_575,icd_452,1.8182839437387992,1.1676537421543478,0.14270373917964818
full,icd_157,icd_751,icd_573,1.979479705052946,1.8146657683397238,0.7869557026660665
full,icd_157,icd_573,icd_751,1.845642349468074,1.690317543312372,0.35168158430491303
full,icd_157,icd_751,icd_537,3.426961567751655,3.3521266177540907,0.7538635114315291
full,icd_157,icd_537,icd_751,2.511511009889683,2.3368196032860546,0.15301167978630126
full,icd_157,icd_751,icd_531,1.9559499189545242,1.4010724073847354,0.10990625915563257
full,icd_157,icd_751,icd_575,2.829712692714704,2.6639534230383695,1.104967638507901
full,icd_157,icd_575,icd_751,2.2618192258512364,2.1142555197417057,0.28531793829678165
full,icd_157,icd_573,icd_537,0.9829596724750368,0.7600477137491695,0.8295209183522729
full,icd_157,icd_537,icd_573,0.9109931720106811,0.6394382109346857,0.7660474478456507
full,icd_157,icd_573,icd_531,1.0920390232811779,0.7516299254416188,0.5871944009294907
full,icd_157,icd_573,icd_575,1.5819402552933106,1.4326639864154156,4.021611614481344
full,icd_157,icd_575,icd_573,1.6053288118308773,1.5160846330474738,3.6715210327566865
full,icd_157,icd_537,icd_531,4.30368834242471,4.273668173103537,3.2581839811428495
full,icd_157,icd_531,icd_537,4.354575624712563,4.332176048566935,2.9592761696039815
full,icd_157,icd_575,icd_537,1.3243670519404747,1.0961522268661028,0.6245037360572709
full,icd_191,icd_348,icd_742,2.8674583711402764,2.7926969654006797,3.726643043216427
full,icd_191,icd_742,icd_348,3.300597644366478,3.2512897789064166,8.925553104567143
full,icd_191,icd_348,icd_431,2.7623035826114983,2.714522412190654,17.97796108710827
full,icd_191,icd_431,icd_348,3.2441895182881946,3.2247651754676996,58.05507972091482
full,icd_191,icd_V66,icd_348,1.4073264887314336,0.7144750325984947,0.2712943751639614
full,icd_191,icd_348,icd_377,2.81779215900441,2.7371112520862453,4.216026340460303
full,icd_191,icd_377,icd_348,3.002603330404503,2.9434670202605138,8.012056363982197
full,icd_191,icd_348,icd_368,1.3264190639979891,1.2446193610361724,7.996927101406982
full,icd_191,icd_368,icd_348,1.9473563172660389,1.8796141762310912,17.488350393141445
full,icd_191,icd_348,icd_432,2.8339400592943087,2.782356139551747,19.724483642581617
full,icd_191,icd_432,icd_348,3.3270609548958987,3.3059472681958537,45.77523165879211
full,icd_191,icd_348,icd_349,2.553624248953804,2.509617993976488,8.91609026516744
full,icd_191,icd_349,icd_348,2.6007694346647288,2.5300981012265713,8.556056302189972
full,icd_191,icd_742,icd_431,3.1957702265276566,3.052502419041435,1.366788574363028
full,icd_191,icd_431,icd_742,2.171908894898561,1.913785645669019,0.6304578916910195
full,icd_191,icd_742,icd_368,1.1027788315408564,0.629604284047312,0.31514195345125806
full,icd_191,icd_742,icd_432,1.6761863243347346,0.9167971426219933,0.3054276224969872
full,icd_191,icd_432,icd_742,1.4904978665251862,0.8879816770843885,0.23148483855998947
full,icd_191,icd_742,icd_349,3.7049701882190833,3.640607323894112,1.3896525819575274
full,icd_191,icd_349,icd_742,3.117338355800242,2.9256059156660204,0.4551116665433952
full,icd_191,icd_431,icd_368,1.3783323372374752,1.2445858174153843,2.856803225479979
full,icd_191,icd_368,icd_431,1.623238404508394,1.3781470643106937,2.150692952398714
full,icd_191,icd_431,icd_432,4.059704822554547,4.033628404965754,22.790823075296657
full,icd_191,icd_432,icd_431,4.663598063805734,4.6490829707714685,29.626026961183015
full,icd_191,icd_431,icd_349,1.5721479538644325,1.369920330507922,1.1332777010094404
full,icd_191,icd_349,icd_431,1.3495701753952434,0.703412430956795,0.4163676500461051
full,icd_191,icd_377,icd_368,3.8517541697547846,3.8247968168539517,5.955212078619866
full,icd_191,icd_368,icd_377,4.259814570165222,4.228489661446536,6.663362364418504
full,icd_191,icd_377,icd_349,3.056218036961576,2.946594087037327,0.8783812033758096
full,icd_191,icd_349,icd_377,3.4386514527464067,3.2958691335686736,0.7461359551880946
full,icd_191,icd_368,icd_349,2.9443623469127114,2.8954745388579215,4.924900498111242
full,icd_191,icd_349,icd_368,2.11090455174023,1.987992811705528,1.6668626302620169
full,icd_191,icd_432,icd_349,1.2262524246060478,0.8887557827403387,0.5819898748645045
full,icd_205,icd_284,icd_288,3.2727780745424795,3.225662445574882,3.777703981724926
