cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
full,icd_191,Malignant neoplasm of brain,diagnosis,4,icd_V66,Convalescence and palliative care,icd,2.6790956478677854,2.3903276103171853,2.9250279991094694,0.22959878601568562,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,5,icd_377,Disorders of optic nerve and visual pathways,icd,2.3861148190124317,2.223251606003958,3.5201887220372106,1.0261550946578097,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,6,icd_368,Visual disturbances,icd,2.239966344752308,2.1648021067459315,2.788823062552617,5.5594815218944404,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,7,icd_432,Other and unspecified intracranial hemorrhage,icd,2.163119858113748,2.0625915086231146,3.4219146025527065,3.3911254553011645,primary
full,icd_191,Malignant neoplasm of brain,diagnosis,8,icd_349,Other and unspecified disorders of the nervous system,icd,2.1890554055213194,2.0304640076569007,2.5240316526288944,1.3448538100876988,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,1,med_114477,levetiracetam,med,3.7030728257012777,3.66922244311775,3.27824917239626,8.415671063191041,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,2,lab_3968-5_NORMAL,Phenytoin [Mass/volume] in Serum or Plasma - normal,lab,3.5630636342161495,3.511622154401425,3.0026760002131736,4.773884839674679,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,3,med_235988,venlafaxine,med,3.54506729944063,3.476178621143092,2.69660893987637,2.3094557471677035,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,4,lab_742-7_LOW,Monocytes [#/volume] in Blood by Automated count - low,lab,3.4067864704821966,3.315766882461465,2.3989231350598406,1.848900229152477,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,5,med_825006,thrombin,med,3.213350493096023,3.1297090293607126,2.1569487742968767,3.384648402105256,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,6,med_7396,nicardipine,med,3.1783798405233044,3.078095107108593,2.2675296726021035,1.4994111738472782,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,7,med_167,acetazolamide,med,3.2855782997500342,3.0780404951745797,2.7681862708919778,0.34586858670681053,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,8,med_89792,mannitol,med,3.1531920640355113,3.0642213660023674,2.3325018611366195,2.2888789247593166,primary
full,icd_191,Malignant neoplasm of brain,cross_modal,9,lab_2692-2_HIGH,Osmolality of Serum or Plasma - high,lab,3.138846826598873,3.0525933522334623,2.900536430369482,2.6528817803618665,primary
